gmeLabel,flag
Brielle,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Brielle.svg
Maassluis,http://commons.wikimedia.org/wiki/Special:FilePath/Maassluis%20flag.svg
Oukoop,
Wassenaar,http://commons.wikimedia.org/wiki/Special:FilePath/Wassenaar%20flag.svg
Rijswijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Papendrecht.svg
Hendrik-Ido-Ambacht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hendrik-Ido-Ambacht.svg
Nieuwerkerk aan den IJssel,http://commons.wikimedia.org/wiki/Special:FilePath/VlagNieuwerkerkaandenIJssel.gif
Nederslingeland,
Veur,
Hekelingen,
Capelle aan den IJssel,http://commons.wikimedia.org/wiki/Special:FilePath/Capelle%20aan%20den%20IJssel%20vlag.svg
Alblasserdam,http://commons.wikimedia.org/wiki/Special:FilePath/Alblasserdam%20vlag.svg
Liesveld,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liesveld.svg
Krimpen aan den IJssel,http://commons.wikimedia.org/wiki/Special:FilePath/Krimpen%20aan%20den%20Ijssel%20vlag.svg
Sliedrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Sliedrecht%20vlag.svg
Benthuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Benthuizen.svg
Bergschenhoek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bergschenhoek.svg
Berkel en Rodenrijs,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Berkel%20en%20Rodenrijs.svg
Oostflakkee,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oostflakkee.svg
Waddinxveen,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20waddinxveen.svg
Hellevoetsluis,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hellevoetsluis.svg
Voorschoten,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Voorschoten.svg
Strijen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Strijen.svg
Binnenmaas,http://commons.wikimedia.org/wiki/Special:FilePath/Binnenmaas%20vlag.svg
Bleiswijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bleiswijk.svg
Bodegraven-Reeuwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Bodegraven-Reeuwijk%20vlag.svg
Dirksland,http://commons.wikimedia.org/wiki/Special:FilePath/Dirksland%20vlag.svg
Voorhout,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Voorhout.svg
Hillegom,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hillegom.svg
Goeree-Overflakkee,http://commons.wikimedia.org/wiki/Special:FilePath/Goeree-Overflakkee%20gemeentevlag.svg
Papendrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Papendrecht.svg
Albrandswaard,http://commons.wikimedia.org/wiki/Special:FilePath/Albrandswaard%20flag.svg
Westvoorne,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Westvoorne.svg
Nieuwkoop,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nieuwkoop.svg
Ouderkerk,http://commons.wikimedia.org/wiki/Special:FilePath/Ouderkerk%20%28Zuid-Holland%29%20vlag.svg
Rijnwoude,http://commons.wikimedia.org/wiki/Special:FilePath/Rijnwoude%20vlag.svg
Onwaard,
De Mijl,
Wieldrecht,
Achttienhoven,
Nieuwenhoorn,
Stellendam,
Hoogvliet,
Hoogmade,
Herkingen,
Bleskensgraaf,
Lange Ruige Weide,
Rijsoort en Strevelshoek,
Zuid-Waddinxveen,
Ackersdijk en Vrouwenregt,
Nieuwpoort,
Benthorn,
Korendijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Korendijk.svg
Midden-Delfland,http://commons.wikimedia.org/wiki/Special:FilePath/Midden%20Delfland%20vlag.svg
Hardinxveld-Giessendam,http://commons.wikimedia.org/wiki/Special:FilePath/Hardinxveldgiessendam%20flag.svg
Jacobswoude,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Jacobswoude.svg
Gouderak,
Liemeer,http://commons.wikimedia.org/wiki/Special:FilePath/Liemeer%20vlag.svg
Reeuwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Reeuwijk.svg
Loosduinen,
Leiderdorp,http://commons.wikimedia.org/wiki/Special:FilePath/Leiderdorp%20vlag.svg
Vlist,http://commons.wikimedia.org/wiki/Special:FilePath/Vlist%20vlag.svg
Moordrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Moordrecht.svg
Rozenburg,http://commons.wikimedia.org/wiki/Special:FilePath/Rozenburg%20vlag.svg
Sommelsdijk,http://commons.wikimedia.org/wiki/Special:FilePath/Sommelsdijk%20vlag.svg
Maasland,http://commons.wikimedia.org/wiki/Special:FilePath/Maasland%20vlag.svg
Graafstroom,http://commons.wikimedia.org/wiki/Special:FilePath/Graafstroom%20flag.svg
Giessenlanden,http://commons.wikimedia.org/wiki/Special:FilePath/Giessenlanden%20vlag.svg
Nederlek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nederlek.svg
Lansingerland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20Lansingerland.svg
Delfshaven,
Zouteveen,
Kaag en Braassem,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20van%20Kaag%20en%20Braassem.svg
Teylingen,http://commons.wikimedia.org/wiki/Special:FilePath/Teylingen%20vlag.svg
Giessenburg,
Ter Aar,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ter%20Aar.svg
Schipluiden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Schipluiden.svg
Katendrecht,
Melissant,
Tempel,
Hoog- en Woud-Harnasch,
Heer Oudelands Ambacht,
Molenwaard,http://commons.wikimedia.org/wiki/Special:FilePath/Molenwaard%20vlag.svg
Oude en Nieuwe Struiten,
Vlaardinger-Ambacht,
Rietveld,
Ooltgensplaat,
Nieuw-Helvoet,
Oudshoorn,
Krimpen aan de Lek,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Krimpen%20aan%20de%20Lek.gif
Charlois,
Ouderkerk aan den IJssel,
Waarder,
Overschie,http://commons.wikimedia.org/wiki/Special:FilePath/Overschie%20vlag.svg
Hillegersberg,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hillegersberg.svg
Sint Maartensregt,
Biesland,
Schiebroek,
Heukelum,http://commons.wikimedia.org/wiki/Special:FilePath/Heukelum%20Gemeentevlag%206%20mei%201971.svg
Noord-Waddinxveen,
Oude-Tonge,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oude-Tonge.svg
Stompwijk,
Den Bommel,
Groote Lindt,
Haastrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Haastrecht.gif
Seghwaert,
Stormpolder,
Kijfhoek,
Groeneveld,
Zevenhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Zevenhuizen%20%28ZH%29%20vlag.svg
Stolwijk,
Biert,
Barwoutswaarder,
De Vennip,
Rotterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rotterdam.svg
Sluipwijk,
Westmaas,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Westmaas.svg
Oostvoorne,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oostvoorne.svg
Zuidwijk,
Muiden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Muiden.svg
Ilpendam,
Spaarndam,
Beets,
Zaandijk,http://commons.wikimedia.org/wiki/Special:FilePath/Zaandijk%20vlag.svg
Wormerveer,
Westzaan,
Borsele,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Borsele.svg
Goes,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Goes.svg
Hulst,http://commons.wikimedia.org/wiki/Special:FilePath/Hulst%20vlag.svg
Kapelle,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kapelle.svg
Middelburg,http://commons.wikimedia.org/wiki/Special:FilePath/Middelburg%20vlag.svg
Noord-Beveland,http://commons.wikimedia.org/wiki/Special:FilePath/Noord-Beveland%20vlag.svg
Reimerswaal,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Reimerswaal.svg
Schouwen-Duiveland,http://commons.wikimedia.org/wiki/Special:FilePath/Schouwen-Duiveland%20vlag.svg
Sluis,http://commons.wikimedia.org/wiki/Special:FilePath/Sluis%20vlag.svg
Terneuzen,http://commons.wikimedia.org/wiki/Special:FilePath/Terneuzen%20vlag.svg
Tholen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tholen.svg
Veere,http://commons.wikimedia.org/wiki/Special:FilePath/Veere%20vlag.svg
Schermerhorn,http://commons.wikimedia.org/wiki/Special:FilePath/Schermerhorn%20vlag.svg
Sijbekarspel,
Limmen,
Egmond aan Zee,http://commons.wikimedia.org/wiki/Special:FilePath/Egmond%20aan%20Zee%20vlag.svg
Egmond-Binnen,
Hensbroek,
Veenhuizen,
Kalslagen,
Etersheim,
Jisp,http://commons.wikimedia.org/wiki/Special:FilePath/Jisp%20vlag.svg
Dijk en Waard,
Wieringen,http://commons.wikimedia.org/wiki/Special:FilePath/Wieringen%20vlag.svg
Bussum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bussum.svg
Naarden,http://commons.wikimedia.org/wiki/Special:FilePath/Naarden%20vlag.svg
Purmerend,
Bangert,
Krommenie,
Koog aan de Zaan,
Blokker,
Andijk,http://commons.wikimedia.org/wiki/Special:FilePath/Andijk%20flag.svg
Anna Paulowna,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Paulowna%20vlag.svg
Wijdenes,
Oudendijk,
Schardam,
Nibbixwoud,http://commons.wikimedia.org/wiki/Special:FilePath/Nibbixwoud%20vlag%201969.svg
Akersloot,
Nieuwolda,
Alkmaar,http://commons.wikimedia.org/wiki/Special:FilePath/Alkmaar%20Flag.svg
Aalsmeer,http://commons.wikimedia.org/wiki/Special:FilePath/Aalsmeer%20flag.svg
Amstelveen,http://commons.wikimedia.org/wiki/Special:FilePath/Amstelveen%20flag.svg
Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Amsterdam.svg
Beemster,http://commons.wikimedia.org/wiki/Special:FilePath/Beemster%20flag.svg
Bergen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bergen%20%28Netherlands%29.svg
Beverwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Beverwijk.svg
Blaricum,http://commons.wikimedia.org/wiki/Special:FilePath/Blaricum%20vlag.svg
Bloemendaal,http://commons.wikimedia.org/wiki/Special:FilePath/Bloemendaal%20vlag%202019.svg
Meerkerk,
's-Gravenambacht,
't Woud,
Abtsregt,
Ameide,http://commons.wikimedia.org/wiki/Special:FilePath/Ameide%20vlag.svg
Berkenwoude,
Strevelshoek,
Koudekerk aan den Rijn,http://commons.wikimedia.org/wiki/Special:FilePath/Koudekerk%20aan%20den%20Rijn%20vlag.svg
Broek,
Stad aan 't Haringvliet,
Moerkapelle,
Zwammerdam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zwammerdam.svg
Hardinxveld,
Poortugaal,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20Poortugaal.png
Vierpolders,
Zwartewaal,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zwartewaal.png
Geervliet,
Groot-Ammers,
Hazerswoude,
Hekendorp,
Lekkerkerk,
Kleine-Lindt,
Laagblokland,
Meerdervoort,
Naaldwijk,
"Naters, Netherlands",
Nieuweveen,
"Nieuwland, Kortland en 's-Graveland",
Oud- en Nieuw-Mathenesse,
Rijnsaterwoude,
Ruiven,
Sandelingen-Ambacht,
Schuddebeurs en Simonshaven,
Vrijhoeven,
Vrije en Lage Boekhorst,
Zuidland,http://commons.wikimedia.org/wiki/Special:FilePath/Zuidland%20vlag.svg
Alphen,
IJsselmonde,
Oost-Barendrecht,
West-Barendrecht,
Kralingen,
Vliet,
Nissewaard,http://commons.wikimedia.org/wiki/Special:FilePath/Nissewaard%20gemeentevlag.svg
Hof van Delft,
Vrijenban,
Krimpenerwaard,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeentevlag%20Krimpenerwaard.svg
Stein,
Kethel en Spaland,
Ouddorp,
Goedereede,http://commons.wikimedia.org/wiki/Special:FilePath/Goedereede%20vlag.svg
Voorburg,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Voorburg%20%282nd%29.svg
Heinenoord,
Papekop,
De Lier,
Heerjansdam,http://commons.wikimedia.org/wiki/Special:FilePath/Heerjansdam%20vlag.svg
Arkel,
Monster,
Aarlanderveen,
Pernis,
Hagestein,
Nootdorp,
Naaldwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Naaldwijk%20vlag.svg
Valkenburg,
Zuidbroek,
Bergambacht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bergambacht.svg
Ammerstol,
Giessendam,
Middelharnis,http://commons.wikimedia.org/wiki/Special:FilePath/Middelharnis%20vlag.svg
Abbenbroek,
Langerak,
Heenvliet,
Nieuwveen,http://commons.wikimedia.org/wiki/Special:FilePath/Nieuwveen%20vlag%201968.svg
Molenlanden,
Hodenpijl,
Tienhoven,
Rockanje,http://commons.wikimedia.org/wiki/Special:FilePath/Rockanje%20vlag.svg
Lexmond,
Woubrugge,
Pijnacker,
Hoeksche Waard,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hoeksche%20Waard.svg
Hoogeveen,
Hoogeveen,
Moerhuizen,
Rijneveld,
Oost- en West-Barendrecht,
Nieuwland,
Koudekerk,
Wateringen,http://commons.wikimedia.org/wiki/Special:FilePath/Wateringen%20vlag.svg
Middelburg,
Boskoop,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Boskoop.svg
Voorne aan Zee,
Appingedam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Appingedam.svg
Noordoostpolder,http://commons.wikimedia.org/wiki/Special:FilePath/Noordoostpolder%20vlag.svg
Veendam,http://commons.wikimedia.org/wiki/Special:FilePath/Veendam%20vlag.svg
Hoogezand-Sappemeer,http://commons.wikimedia.org/wiki/Special:FilePath/Hoogezand-Sappemeer%20vlag.svg
Stadskanaal,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Stadskanaal.svg
Almere,http://commons.wikimedia.org/wiki/Special:FilePath/Almere%20vlag.svg
Lelystad,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lelystad.svg
Zeewolde,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zeewolde.svg
Zuidhorn,http://commons.wikimedia.org/wiki/Special:FilePath/Zuidhorn%20vlag.svg
Urk,http://commons.wikimedia.org/wiki/Special:FilePath/Urker%20vlag%20met%20schelvis%2025-12-2016.svg
Dronten,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dronten.svg
Kleverskerke,
Eversdijk,
Wemeldinge,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wemeldinge.svg
Oudelande,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Oudelande.svg
Kats,
Westkerke,
's-Gravenhoek,
Sint Kruis,
Bommenede,
Borssele,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Borssele.svg
Buttinge en Zandvoort,
Capelle en Botland,
Domburg-Binnen,
Domburg-Buiten,
Ellemeet,
Ellewoutsdijk,
Kattendijke,
Hoogelande,
Kortgene,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kortgene.svg
Waterlandkerkje,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Waterlandkerkje.svg
Stoppeldijk,http://commons.wikimedia.org/wiki/Special:FilePath/Stoppeldijk%20vlag.svg
Rengerskerke en Zuidland,
Rilland en Bath,
Westkapelle-Binnen,
Nieuwvliet,
Sint Jansteen,
Domburg,
Westkapelle,http://commons.wikimedia.org/wiki/Special:FilePath/Westkapelle%20vlag.png
Hoedekenskerke,
Breskens,
Schoondijke,
Sint Philipsland,http://commons.wikimedia.org/wiki/Special:FilePath/Sint%20Philipsland%20vlag.svg
Vogelwaarde,
Renesse,
Bruinisse,http://commons.wikimedia.org/wiki/Special:FilePath/Bruinisse%20vlag.svg
Brigdamme,
Sint Laurens,
Retranchement,http://commons.wikimedia.org/wiki/Special:FilePath/Retranchement%20vlag.svg
Dreischor,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dreischor.svg
Haamstede,
's-Gravenpolder,
's-Heer Abtskerke,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20%27s-Heer%20Abtskerke.svg
's-Heer Hendrikskinderen,
's-Heer Arendskerke,
's-Heerenhoek,
Baarland,http://commons.wikimedia.org/wiki/Special:FilePath/Baarland%20vlag.svg
Nieuw- en Sint Joosland,http://commons.wikimedia.org/wiki/Special:FilePath/Nieuw-%20en%20Sint%20Joosland%20vlag%201938.svg
Oud-Vossemeer,http://commons.wikimedia.org/wiki/Special:FilePath/Oud-Vossemeer%20vlag.svg
Hoofdplaat,
Heinkenszand,
Ouwerkerk,
Sint-Maartensdijk,http://commons.wikimedia.org/wiki/Special:FilePath/Sint-Maartensdijk%20vlag.svg
Cadzand,
Aagtekerke,
Arnemuiden,
Ritthem,
Wissenkerke,http://commons.wikimedia.org/wiki/Special:FilePath/Wissenkerke%20vlag.svg
Serooskerke,
Serooskerke,
Noordwelle,
Nisse,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nisse.svg
Kloetinge,http://commons.wikimedia.org/wiki/Special:FilePath/Kloetinge%20vlag.svg
Kerkwerve,
West-Souburg,
Westenschouwen,
Burgh,
Grijpskerke,
Krabbendijke,http://commons.wikimedia.org/wiki/Special:FilePath/Krabbendijke%20vlag.svg
Kruiningen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kruiningen.svg
Waarde,http://commons.wikimedia.org/wiki/Special:FilePath/Waarde%20vlag.svg
Yerseke,
Driewegen,
Oosterland,
Westdorpe,http://commons.wikimedia.org/wiki/Special:FilePath/Westdorpe%20vlag.svg
Scherpenisse,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Scherpenisse.svg
Biervliet,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Biervliet.svg
Hengstdijk,http://commons.wikimedia.org/wiki/Special:FilePath/Hengstdijk%20vlag.svg
Biggekerke,
Overslag,http://commons.wikimedia.org/wiki/Special:FilePath/Overslag%20vlag.svg
Poortvliet,http://commons.wikimedia.org/wiki/Special:FilePath/Poortvliet%20vlag.svg
Philippine,
Ovezande,http://commons.wikimedia.org/wiki/Special:FilePath/Ovezande%20vlag.svg
Nieuwerkerk,
Hoek,
Vrouwenpolder,
Zoutelande,
Looperskapelle,
Westkapelle-Buiten en Sirpoppekerke,
Graauw en Langendam,
Castricum,http://commons.wikimedia.org/wiki/Special:FilePath/Castricum%20vlag.svg
Den Helder,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Den%20Helder.svg
Diemen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Diemen%20%28municipality%29.svg
Drechterland,http://commons.wikimedia.org/wiki/Special:FilePath/Drechterland%20vlag.svg
Edam-Volendam,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeente%20edam-volendam%20vlag.svg
Enkhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Enkhuizen%20vlag.svg
Graft-De Rijp,http://commons.wikimedia.org/wiki/Special:FilePath/Graft-De%20Rijp%20vlag.svg
Haarlem,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20Haarlem.svg
Haarlemmerliede en Spaarnwoude,http://commons.wikimedia.org/wiki/Special:FilePath/Haarlemmerliede%20en%20Spaarnwoude%20vlag.svg
Haarlemmermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Haarlemmermeer%20vlag%202019.svg
Harenkarspel,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Harenkarspel.svg
Heemskerk,http://commons.wikimedia.org/wiki/Special:FilePath/Heemskerk%20vlag.svg
Heemstede,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Heemstede.svg
Heerhugowaard,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Heerhugowaard.svg
Heiloo,http://commons.wikimedia.org/wiki/Special:FilePath/Heiloo%20vlag%202021.svg
Hilversum,http://commons.wikimedia.org/wiki/Special:FilePath/Hilversum%20vlag.svg
Hollands Kroon,http://commons.wikimedia.org/wiki/Special:FilePath/Hollands%20kroon%20vlag.svg
Hoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hoorn.svg
Huizen,http://commons.wikimedia.org/wiki/Special:FilePath/Huizen%20vlag.svg
Koggenland,http://commons.wikimedia.org/wiki/Special:FilePath/Koggenland%20vlag.svg
Landsmeer,http://commons.wikimedia.org/wiki/Special:FilePath/Landsmeer%20vlag.svg
Langedijk,http://commons.wikimedia.org/wiki/Special:FilePath/Langedijk%20vlag.svg
Laren,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Laren%2C%20North%20Holland.svg
Medemblik,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Medemblik.svg
Oostzaan,http://commons.wikimedia.org/wiki/Special:FilePath/Oostzaan%20vlag.svg
Opmeer,http://commons.wikimedia.org/wiki/Special:FilePath/Opmeer%20vlag.svg
Ouder-Amstel,http://commons.wikimedia.org/wiki/Special:FilePath/Ouder-Amstel%20flag.svg
Schagen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Schagen.svg
Schermer,http://commons.wikimedia.org/wiki/Special:FilePath/Schermer%20vlag.svg
Stede Broec,http://commons.wikimedia.org/wiki/Special:FilePath/Stede-Broec%20vlag.svg
Texel,http://commons.wikimedia.org/wiki/Special:FilePath/Texel%20flag.svg
Uitgeest,http://commons.wikimedia.org/wiki/Special:FilePath/Uitgeest%20vlag.svg
Uithoorn,http://commons.wikimedia.org/wiki/Special:FilePath/Uithoorn%20vlag.svg
Velsen,http://commons.wikimedia.org/wiki/Special:FilePath/Velsen%20vlag.svg
Waterland,http://commons.wikimedia.org/wiki/Special:FilePath/Waterland%20vlag.svg
Weesp,http://commons.wikimedia.org/wiki/Special:FilePath/Weesp%20Netherlands.svg
Wijdemeren,http://commons.wikimedia.org/wiki/Special:FilePath/Wijdemeren%20vlag.svg
Wormerland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wormerland.svg
Zaanstad,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zaanstad.svg
Zandvoort,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zandvoort.svg
Zeevang,http://commons.wikimedia.org/wiki/Special:FilePath/Zeevang%20vlag.svg
Zijpe,http://commons.wikimedia.org/wiki/Special:FilePath/Zijpe%20vlag.svg
Edam,
Winkel,
Urk,http://commons.wikimedia.org/wiki/Special:FilePath/Urker%20vlag%20met%20schelvis%2025-12-2016.svg
Marken,http://commons.wikimedia.org/wiki/Special:FilePath/Marken%20vlag.svg
Wieringermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Wieringermeer%20vlag.svg
Petten,
Egmond,http://commons.wikimedia.org/wiki/Special:FilePath/Egmond%20vlag.svg
Weesperkarspel,
Bovenkarspel,http://commons.wikimedia.org/wiki/Special:FilePath/Stede-Broec%20vlag.svg
Niedorp,http://commons.wikimedia.org/wiki/Special:FilePath/Niedorp%20vlag%201992.svg
Wervershoof,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Wervershoof.svg
Oudorp,
Wester-Koggenland,http://commons.wikimedia.org/wiki/Special:FilePath/Wester-Koggenland%20vlag.png
Nieuwe Niedorp,
Zuidschalkwijk,
Callantsoog,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Callantsoog.svg
Buiksloot,
Noorder-Koggenland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Noorder-Koggenland.svg
Assendelft,
Nederhorst den Berg,http://commons.wikimedia.org/wiki/Special:FilePath/Nederhorst%20den%20Berg%20vlag.svg
Katwoude,
Watergraafsmeer,
Ursem,
Berkenrode,
Houtrijk en Polanen,
De Rijp,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20De%20Rijp.gif
Graft,http://commons.wikimedia.org/wiki/Special:FilePath/Graft%20vlag.svg
